expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template,server,presentation_order,age
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu3_adam_kadin_karsiladi_2c_01_20,4275,['adam'],choice-response,adam,613a95f576739980a84d5f0b,sovu3_adam_kadin_karsiladi_2c_01,6481,85,SOVU3_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsu6_minibuscu_oldurdu_taksici_2a_01_22,4250,['taksici'],choice-response,minibuscu,613a95f576739980a84d5f0b,ovsu6_minibuscu_oldurdu_taksici_2a_01,6583,86,OVSU6_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,FALSE,keypress,resp_ovsm8_tesisatciyi_ovdu_elektrikci_2c_01_26,3538,['elektrikci'],choice-response,tesisatci,613a95f576739980a84d5f0b,ovsm8_tesisatciyi_ovdu_elektrikci_2c_01,6223,87,OVSM8_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm9_kuzuyu_itti_koyun_2b_01_07,3672,['kuzu'],choice-response,kuzu,613a95f576739980a84d5f0b,ovsm9_kuzuyu_itti_koyun_2b_01,5572,88,OVSM9_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu7_manken_muzisyen_bosadi_2b_01_28,2075,['manken'],choice-response,manken,613a95f576739980a84d5f0b,sovu7_manken_muzisyen_bosadi_2b_01,4378,89,SOVU7_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_catch7_ovsu32a,17303,['gazeteci'],choice-response,gazeteci,613a95f576739980a84d5f0b,ovsu3_gazeteci_gosterdi_editor_2a_01,19651,90,catch7_ovsu32a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm1_mufettis_komutani_suzdu_2c_01_12,8643,['mufettis'],choice-response,mufettis,613a95f576739980a84d5f0b,sovm1_mufettis_komutani_suzdu_2c_01,10929,91,SOVM1_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm7_dayi_yegeni_sevindirdi_2b_01_41,3186,['yegen'],choice-response,yegen,613a95f576739980a84d5f0b,sovm7_dayi_yegeni_sevindirdi_2b_01,5416,92,SOVM7_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm5_ogretmeni_korudu_ogrenci_2c_01_25,8736,['ogretmen'],choice-response,ogretmen,613a95f576739980a84d5f0b,ovsm5_ogretmeni_korudu_ogrenci_2c_01,10985,93,OVSM5_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu7_bufeci_kandirdi_simitci_2c_01_06,5646,['simitci'],choice-response,simitci,613a95f576739980a84d5f0b,ovsu7_bufeci_kandirdi_simitci_2c_01,7891,94,OVSU7_2c,eu,backward,37
