,tier,sentence,label,interval,third,F0,F0sd,F0max,F0min,dB,dBsd,dBmax,duration,wo,case,propcontent,"propcontent_no,",quart,pno,grammatical_role,diffo3v1
23,1,ovsm1_kadini_karsiladi_adam_2d_01,karsila,3,2,225.4370151,4.860239663,229.6052018,217.535489,56.40706332,6.60469442,60.6412831,0.856462585,ovs,m,kadinikarsiladiadam,20,2d,1,verb,-15.4633219
24,1,ovsm1_kadini_karsiladi_adam_2d_01,karsila,3,3,218.4839756,6.019412264,230.045922,210.9547995,56.40706332,3.357860262,57.95675582,0.856462585,ovs,m,kadinikarsiladiadam,20,2d,1,verb,-15.4633219
25,1,ovsm1_kadini_karsiladi_adam_2d_01,adam,5,1,185.2787924,NA,185.4034899,184.7572348,51.94753294,1.635652446,54.07490299,1.299365079,ovs,m,kadinikarsiladiadam,20,2d,1,subject,-15.4633219
26,1,ovsm1_kadini_karsiladi_adam_2d_01,adam,5,2,183.3931689,1.476415238,184.7572348,181.3328442,48.99935879,5.324616654,53.05475775,1.299365079,ovs,m,kadinikarsiladiadam,20,2d,1,subject,-15.4633219
27,1,ovsm1_kadini_karsiladi_adam_2d_01,adam,5,3,177.2479444,2.823033394,181.3328442,175.2901808,48.99935879,0.996229947,51.93616285,1.299365079,ovs,m,kadinikarsiladiadam,20,2d,1,subject,-15.4633219
28,1,ovsm1_komutani_suzdu_mufettis_2a_01,komutan,1,1,233.0354687,8.008590411,242.4555279,223.3620308,62.76073882,0.968173582,63.70227518,0.410770975,ovs,m,komutanisuzdumufettis,12,2a,1,object,-13.0569227
29,1,ovsm1_komutani_suzdu_mufettis_2a_01,komutan,1,2,222.2465368,12.0823196,252.0660895,212.3987273,59.58457845,8.485418473,63.42184623,0.410770975,ovs,m,komutanisuzdumufettis,12,2a,1,object,-13.0569227
30,1,ovsm1_komutani_suzdu_mufettis_2a_01,komutan,1,3,242.269686,6.491537845,252.0660895,235.2589212,59.58457845,2.134341711,64.366835,0.410770975,ovs,m,komutanisuzdumufettis,12,2a,1,object,-13.0569227
31,1,ovsm1_komutani_suzdu_mufettis_2a_01,suz,3,1,255.3266087,NA,256.4160159,255.1088063,51.76085174,6.293518877,59.17876545,0.744761905,ovs,m,komutanisuzdumufettis,12,2a,1,verb,-13.0569227
32,1,ovsm1_komutani_suzdu_mufettis_2a_01,suz,3,2,239.0225634,10.1646335,249.3772351,222.6953749,61.91391379,4.231627107,63.8513185,0.744761905,ovs,m,komutanisuzdumufettis,12,2a,1,verb,-13.0569227
33,1,ovsm1_komutani_suzdu_mufettis_2a_01,suz,3,3,205.2659518,9.627750489,222.6953749,197.5567827,61.91391379,2.976126868,60.10343611,0.744761905,ovs,m,komutanisuzdumufettis,12,2a,1,verb,-13.0569227
34,1,ovsm1_komutani_suzdu_mufettis_2a_01,mufettis,5,1,216.1525876,10.38635612,229.8514658,197.582221,59.99085564,8.538736522,63.94742612,1.550544218,ovs,m,komutanisuzdumufettis,12,2a,1,subject,-13.0569227
35,1,ovsm1_komutani_suzdu_mufettis_2a_01,mufettis,5,2,198.6205006,10.01527384,213.1209896,188.9062346,51.88830064,11.10878706,57.92520172,1.550544218,ovs,m,komutanisuzdumufettis,12,2a,1,subject,-13.0569227
36,1,ovsm1_komutani_suzdu_mufettis_2a_01,mufettis,5,3,198.2832951,2.397359415,201.2985138,196.7958984,51.88830064,3.586872581,57.07100366,1.550544218,ovs,m,komutanisuzdumufettis,12,2a,1,subject,-13.0569227
37,1,ovsm2_adami_aldatti_kadin_2a_01,adam,1,1,216.2091976,NA,228.7527892,196.4338786,54.47586044,1.802282441,55.30781987,0.263514739,ovs,m,adamialdattikadin,9,2a,1,object,9.5763273
38,1,ovsm2_adami_aldatti_kadin_2a_01,adam,1,2,233.6918137,14.8737551,239.480282,202.6368916,63.23059017,3.829502818,65.11451495,0.263514739,ovs,m,adamialdattikadin,9,2a,1,object,9.5763273
39,1,ovsm2_adami_aldatti_kadin_2a_01,adam,1,3,247.4237596,11.0243478,266.4376135,238.6776409,63.23059017,0.846674881,67.24604039,0.263514739,ovs,m,adamialdattikadin,9,2a,1,object,9.5763273
40,1,ovsm2_adami_aldatti_kadin_2a_01,aldat,3,1,237.8474323,5.34627848,241.7136943,229.0268259,61.6982355,2.450704351,63.01724852,0.704920635,ovs,m,adamialdattikadin,9,2a,1,verb,9.5763273
41,1,ovsm2_adami_aldatti_kadin_2a_01,aldat,3,2,220.0899054,6.186145073,229.0268259,210.492182,58.2321694,4.45974689,61.57358379,0.704920635,ovs,m,adamialdattikadin,9,2a,1,verb,9.5763273
42,1,ovsm2_adami_aldatti_kadin_2a_01,aldat,3,3,222.5607147,0.890975063,223.3928732,221.853473,58.2321694,11.73953192,61.21929386,0.704920635,ovs,m,adamialdattikadin,9,2a,1,verb,9.5763273
43,1,ovsm2_adami_aldatti_kadin_2a_01,kadin,5,1,214.4752009,NA,227.3525072,206.4150283,53.34416843,6.45205185,59.40706347,1.19260771,ovs,m,adamialdattikadin,9,2a,1,subject,9.5763273
44,1,ovsm2_adami_aldatti_kadin_2a_01,kadin,5,2,196.1982772,9.144869986,206.4150283,186.996817,54.2941228,9.694378053,60.04702673,1.19260771,ovs,m,adamialdattikadin,9,2a,1,subject,9.5763273
45,1,ovsm2_adami_aldatti_kadin_2a_01,kadin,5,3,184.6984702,2.057628999,186.996817,182.9141937,54.2941228,1.621161318,55.81932879,1.19260771,ovs,m,adamialdattikadin,9,2a,1,subject,9.5763273
46,1,ovsm2_fareyi_gordu_kedi_2d_01,fare,1,1,226.7149092,4.792179761,230.8220218,222.3595423,56.39578717,6.511737444,59.48699547,0.381088435,ovs,m,fareyigordukedi,21,2d,1,object,-42.1540178
47,1,ovsm2_fareyi_gordu_kedi_2d_01,fare,1,2,222.4560563,0.499673901,222.9613389,221.7587954,60.36450988,0.383868348,60.8254108,0.381088435,ovs,m,fareyigordukedi,21,2d,1,object,-42.1540178
48,1,ovsm2_fareyi_gordu_kedi_2d_01,fare,1,3,220.4176635,4.176740186,229.5395389,216.1397221,60.36450988,0.389219188,59.44718135,0.381088435,ovs,m,fareyigordukedi,21,2d,1,object,-42.1540178
49,1,ovsm2_fareyi_gordu_kedi_2d_01,gor,3,1,262.5716813,10.89393386,278.8663808,251.8826562,54.3639257,2.943373631,57.36811827,0.729160998,ovs,m,fareyigordukedi,21,2d,1,verb,-42.1540178
50,1,ovsm2_fareyi_gordu_kedi_2d_01,gor,3,2,237.6195713,17.73250257,259.3283704,217.6827966,60.51131611,1.588704609,62.36362723,0.729160998,ovs,m,fareyigordukedi,21,2d,1,verb,-42.1540178
51,1,ovsm2_fareyi_gordu_kedi_2d_01,gor,3,3,221.1235505,1.292304306,222.537379,219.6413929,60.51131611,0.892944784,58.53504138,0.729160998,ovs,m,fareyigordukedi,21,2d,1,verb,-42.1540178
52,1,ovsm2_fareyi_gordu_kedi_2d_01,kedi,5,1,211.082882,NA,231.4853836,198.6372247,48.93835272,5.468669962,53.75830065,1.212086168,ovs,m,fareyigordukedi,21,2d,1,subject,-42.1540178
53,1,ovsm2_fareyi_gordu_kedi_2d_01,kedi,5,2,185.8163791,10.88933963,199.0205028,171.7001575,52.33855998,8.453641473,56.31754356,1.212086168,ovs,m,fareyigordukedi,21,2d,1,subject,-42.1540178
54,1,ovsm2_fareyi_gordu_kedi_2d_01,kedi,5,3,189.2062536,8.974549251,199.0205028,181.348969,52.33855998,6.79027278,51.93346841,1.212086168,ovs,m,fareyigordukedi,21,2d,1,subject,-42.1540178
55,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,isadami,1,1,289.0149489,NA,290.7558058,284.2653754,55.99968085,4.601972515,60.54202845,0.411972789,ovs,m,isadaminikucumsedisporcu,2,2b,1,object,-53.1061762
56,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,isadami,1,2,250.5790046,22.36570633,284.2653754,231.6432498,59.00191299,3.623826452,62.79805663,0.411972789,ovs,m,isadaminikucumsedisporcu,2,2b,1,object,-53.1061762
